Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-13 19:40:00,Lose,Win,Adelaide Crows,Port Adelaide
2021-05-08 19:40:00,Lose,Win,Adelaide Crows,Port Adelaide
2021-08-07 19:40:00,Lose,Win,Adelaide Crows,Port Adelaide
2022-04-01 20:20:00,Win,Lose,Adelaide Crows,Port Adelaide
2022-08-20 19:30:00,Lose,Win,Adelaide Crows,Port Adelaide
2020-08-30 15:35:00,Lose,Win,Carlton,Collingwood
2021-03-25 19:20:00,Lose,Win,Carlton,Collingwood
2021-07-18 15:20:00,Win,Lose,Carlton,Collingwood
2022-05-29 15:20:00,Lose,Win,Carlton,Collingwood
2022-08-21 15:20:00,Lose,Win,Carlton,Collingwood
2020-08-13 20:10:00,Win,Lose,Sydney Swans,GWS Giants
2021-04-17 16:35:00,Lose,Win,Sydney Swans,GWS Giants
2021-07-18 18:10:00,Win,Lose,Sydney Swans,GWS Giants
2021-08-28 15:20:00,Lose,Win,Sydney Swans,GWS Giants
2022-03-19 17:10:00,Win,Lose,Sydney Swans,GWS Giants
2020-03-22 13:05:00,Lose,Win,St Kilda,North Melbourne
2021-05-29 16:35:00,Win,Lose,St Kilda,North Melbourne
2022-05-29 13:10:00,Win,Lose,St Kilda,North Melbourne
2023-05-07 16:40:00,Win,Lose,St Kilda,North Melbourne
2023-07-23 13:10:00,Lose,Win,St Kilda,North Melbourne
2020-06-28 15:35:00,Lose,Win,Melbourne,Geelong Cats
2021-04-11 15:20:00,Win,Lose,Melbourne,Geelong Cats
2021-08-21 19:40:00,Win,Lose,Melbourne,Geelong Cats
2021-09-10 19:50:00,Win,Lose,Melbourne,Geelong Cats
2022-07-07 19:20:00,Lose,Win,Melbourne,Geelong Cats
2020-09-01 20:10:00,Win,Lose,West Coast Eagles,Essendon
2021-05-29 19:40:00,Lose,Win,West Coast Eagles,Essendon
2022-06-24 20:40:00,Win,Lose,West Coast Eagles,Essendon
2023-05-27 19:30:00,Lose,Win,West Coast Eagles,Essendon
2023-08-05 13:45:00,Lose,Win,West Coast Eagles,Essendon
2020-09-02 19:10:00,Win,Lose,Richmond,Fremantle
2021-08-01 17:10:00,Lose,Win,Richmond,Fremantle
2022-07-22 19:50:00,Draw,Draw,Richmond,Fremantle
2023-06-10 19:25:00,Win,Lose,Richmond,Fremantle
2020-09-13 15:35:00,Win,Lose,Western Bulldogs,Hawthorn
2021-08-14 13:45:00,Lose,Win,Western Bulldogs,Hawthorn
2022-06-24 19:00:00,Win,Lose,Western Bulldogs,Hawthorn
2022-08-21 13:10:00,Win,Lose,Western Bulldogs,Hawthorn
2023-04-29 16:35:00,Win,Lose,Western Bulldogs,Hawthorn
2020-09-09 19:10:00,Win,Lose,Brisbane Lions,Gold Coast Suns
2021-05-15 16:35:00,Win,Lose,Brisbane Lions,Gold Coast Suns
2021-07-24 13:45:00,Win,Lose,Brisbane Lions,Gold Coast Suns
2022-04-24 16:10:00,Win,Lose,Brisbane Lions,Gold Coast Suns
2022-07-23 19:10:00,Win,Lose,Brisbane Lions,Gold Coast Suns
