Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Blake Hardwick,8,27,10,18.88,0.25,0.0,0.5,75,50,12,12,12,0
Cam Mackenzie,6,20,5,14.33,0.0,0.5,0.33,67,17,0,0,0,0
Chad Wingard,6,17,3,11.5,0.33,0.83,1.17,33,0,0,33,0,0
Changkuoth Jiath,7,21,11,17.14,0.14,0.0,0.43,86,29,0,14,0,0
Connor Macdonald,7,20,12,15.29,0.43,1.0,0.71,71,14,0,43,0,0
Conor Nash,8,31,10,22.0,0.12,0.38,0.38,75,62,50,12,0,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0,0
Dylan Moore,8,26,15,20.25,0.5,0.88,1.38,100,50,12,38,12,0
Fergus Greene,8,10,4,7.88,1.38,0.75,0.5,0,0,0,62,50,25
Finn Maginness,4,12,10,10.75,0.0,0.25,0.25,0,0,0,0,0,0
Harry Morrison,6,24,17,19.83,0.0,0.33,0.5,100,33,0,0,0,0
Jack Scrimshaw,5,25,7,13.2,0.6,0.0,0.4,40,20,20,60,0,0
Jacob Koschitzke,2,11,4,7.5,0.0,1.0,1.5,0,0,0,0,0,0
Jai Newcombe,8,31,15,22.75,0.62,0.5,1.62,100,75,38,50,12,0
James Blanck,2,7,6,6.5,0.0,0.0,0.5,0,0,0,0,0,0
James Sicily,8,30,14,23.88,0.25,0.25,0.38,88,88,62,25,0,0
James Worpel,8,35,15,23.75,0.5,0.38,1.5,100,75,50,50,0,0
Jarman Impey,8,24,14,19.38,0.0,0.12,0.88,88,50,0,0,0,0
Josh Ward,7,27,15,21.43,0.0,0.43,0.71,100,71,29,0,0,0
Josh Weddle,2,12,8,10.0,0.0,0.0,0.0,0,0,0,0,0,0
Karl Amon,8,25,18,21.25,0.62,0.12,0.38,100,75,12,50,12,0
Lachlan Bramble,4,22,7,14.0,0.0,0.0,0.75,50,25,0,0,0,0
Lloyd Meek,6,12,8,9.67,0.17,0.33,1.17,0,0,0,17,0,0
Luke Breust,7,16,7,10.71,1.57,1.29,1.0,14,0,0,71,43,43
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0,0
Mitch Lewis,2,16,11,13.5,1.5,2.0,0.5,50,0,0,100,50,0
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0,0
Ned Reeves,8,15,3,7.38,0.12,0.12,0.62,12,0,0,12,0,0
Sam Frost,8,20,6,14.62,0.0,0.0,0.38,50,12,0,0,0,0
Seamus Mitchell,4,17,11,14.25,0.0,0.25,0.0,50,0,0,0,0,0
Tyler Brockman,6,16,5,10.33,1.0,0.5,0.33,17,0,0,50,33,17
Will Day,6,30,22,25.83,0.33,0.17,1.5,100,100,67,33,0,0
