Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Adam Tomlinson,3,19,13,16.33,0.0,0.0,0.67,67,0,0,0,0,0
Alex Neal Bullen,8,19,8,12.67,1.0,0.67,1.33,33,0,0,100,0,0
Angus Brayshaw,8,29,20,24.33,0.0,0.33,1.0,100,100,33,0,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Bayley Fritsch,7,13,7,9.33,1.67,1.0,0.67,0,0,0,67,33,33
Ben Brown,3,15,2,10.67,3.0,0.33,0.67,67,0,0,100,67,67
Brodie Grundy,8,18,6,13.0,1.33,0.0,1.33,67,0,0,67,67,0
Charlie Spargo,5,13,1,6.67,1.33,0.33,0.0,0,0,0,67,67,0
Christian Petracca,8,35,26,29.0,1.33,0.67,0.67,100,100,100,67,33,33
Clayton Oliver,8,37,28,32.0,0.33,0.0,1.0,100,100,100,33,0,0
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0,0
Ed Langdon,8,20,12,17.33,0.33,0.33,0.67,67,67,0,33,0,0
Harrison Petty,7,17,8,11.33,0.33,0.33,0.67,33,0,0,33,0,0
Jack Viney,7,30,21,24.33,0.67,0.33,3.0,100,100,33,67,0,0
Jacob van Rooyen,6,8,5,7.0,1.67,0.33,1.0,0,0,0,100,33,33
Jake Bowey,8,18,13,16.0,0.67,0.0,0.67,67,0,0,67,0,0
Jake Lever,7,20,10,13.67,0.0,0.0,0.33,33,33,0,0,0,0
Jake Melksham,4,10,4,6.33,1.0,0.33,0.0,0,0,0,67,33,0
James Harmes,4,10,3,6.33,0.0,0.33,0.0,0,0,0,0,0,0
James Jordon,6,22,17,18.67,0.67,0.0,1.33,100,33,0,67,0,0
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0,0
Judd McVee,8,16,12,13.67,0.0,0.0,0.67,33,0,0,0,0,0
Kade Chandler,8,21,10,14.33,2.33,0.0,0.33,33,33,0,100,67,67
Kysaiah Pickett,6,16,8,10.67,2.0,0.33,1.0,33,0,0,100,67,33
Lachie Hunter,8,23,20,21.0,0.0,0.0,2.0,100,100,0,0,0,0
Max Gawn,5,17,14,15.33,1.0,1.33,1.0,67,0,0,67,33,0
Michael Hibberd,4,23,8,16.0,0.0,0.0,0.67,67,33,0,0,0,0
Steven May,6,22,13,16.33,0.0,0.0,1.33,33,33,0,0,0,0
Tom McDonald,4,16,6,10.67,1.67,0.33,1.0,33,0,0,67,33,33
Tom Sparrow,8,23,15,19.33,0.67,0.33,0.0,100,67,0,67,0,0
Trent Rivers,8,20,12,17.0,0.33,0.0,0.67,67,33,0,33,0,0
