Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Adam Tomlinson,3,19,13,16.33,0.0,0.0,0.67,67,0,0,0,0,0
Alex Neal Bullen,8,19,8,14.0,1.0,0.6,1.2,60,0,0,100,0,0
Angus Brayshaw,8,29,12,20.4,0.0,0.2,0.8,80,60,20,0,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Bayley Fritsch,7,17,7,10.8,2.0,1.2,0.6,20,0,0,80,60,40
Ben Brown,3,15,2,10.67,3.0,0.33,0.67,67,0,0,100,67,67
Brodie Grundy,8,22,6,15.8,0.8,0.0,2.2,80,20,0,40,40,0
Charlie Spargo,5,15,1,8.8,1.2,0.2,0.6,20,0,0,60,60,0
Christian Petracca,8,35,26,28.6,1.6,0.8,1.0,100,100,100,80,40,40
Clayton Oliver,8,41,28,34.2,0.2,0.0,1.8,100,100,100,20,0,0
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0,0
Ed Langdon,8,24,12,19.6,0.2,0.4,0.6,80,80,0,20,0,0
Harrison Petty,7,17,8,11.4,0.4,0.2,0.8,20,0,0,40,0,0
Jack Viney,7,30,21,24.6,0.6,0.4,2.0,100,100,40,60,0,0
Jacob van Rooyen,6,9,5,7.4,1.6,0.4,1.2,0,0,0,100,40,20
Jake Bowey,8,22,13,17.6,0.4,0.0,0.6,80,20,0,40,0,0
Jake Lever,7,20,10,14.2,0.0,0.0,0.8,40,20,0,0,0,0
Jake Melksham,4,10,2,5.25,1.0,0.5,0.0,0,0,0,75,25,0
James Harmes,4,15,3,8.5,0.0,0.25,0.0,25,0,0,0,0,0
James Jordon,6,22,6,14.0,0.6,0.2,1.0,60,20,0,60,0,0
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0,0
Judd McVee,8,16,12,14.2,0.0,0.0,0.8,40,0,0,0,0,0
Kade Chandler,8,21,10,13.6,1.8,0.0,0.4,40,20,0,100,40,40
Kysaiah Pickett,6,16,8,11.6,2.0,1.6,0.8,40,0,0,100,80,20
Lachie Hunter,8,27,20,22.4,0.0,0.0,1.4,100,100,20,0,0,0
Max Gawn,5,21,1,13.6,1.0,0.8,1.0,60,20,0,60,40,0
Michael Hibberd,4,23,8,14.75,0.0,0.0,0.5,50,25,0,0,0,0
Steven May,6,22,13,16.2,0.0,0.0,0.8,40,20,0,0,0,0
Tom McDonald,4,16,6,11.25,1.25,0.5,1.0,25,0,0,50,25,25
Tom Sparrow,8,23,13,18.2,0.4,0.2,0.4,80,60,0,40,0,0
Trent Rivers,8,27,12,19.6,0.2,0.2,1.0,80,60,20,20,0,0
