Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Blake Hardwick,8,27,22,24.0,0.0,0.0,0.0,100,100,33,0,0,0
Cam Mackenzie,6,16,5,12.0,0.0,0.33,0.0,67,0,0,0,0,0
Chad Wingard,6,17,12,15.0,0.33,0.33,1.67,67,0,0,33,0,0
Changkuoth Jiath,7,21,11,15.67,0.0,0.0,0.33,67,33,0,0,0,0
Connor Macdonald,7,17,12,14.67,0.67,1.0,1.33,67,0,0,67,0,0
Conor Nash,8,28,26,26.67,0.33,0.33,0.67,100,100,100,33,0,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0,0
Dylan Moore,8,19,15,17.67,0.0,1.33,1.67,100,0,0,0,0,0
Fergus Greene,8,10,4,6.67,1.0,0.0,0.33,0,0,0,33,33,33
Finn Maginness,4,11,10,10.33,0.0,0.33,0.33,0,0,0,0,0,0
Harry Morrison,6,24,18,20.0,0.0,0.33,1.0,100,33,0,0,0,0
Jack Scrimshaw,5,16,7,11.0,0.67,0.0,0.0,33,0,0,67,0,0
Jacob Koschitzke,2,11,4,7.5,0.0,1.0,1.5,0,0,0,0,0,0
Jai Newcombe,8,26,20,23.33,1.0,0.67,1.0,100,100,33,67,33,0
James Blanck,2,7,6,6.5,0.0,0.0,0.5,0,0,0,0,0,0
James Sicily,8,27,21,24.67,0.33,0.0,0.33,100,100,67,33,0,0
James Worpel,8,25,21,23.67,0.67,0.0,0.33,100,100,67,67,0,0
Jarman Impey,8,22,15,19.67,0.0,0.0,1.33,100,67,0,0,0,0
Josh Ward,7,20,15,18.33,0.0,0.0,0.67,100,67,0,0,0,0
Josh Weddle,2,12,8,10.0,0.0,0.0,0.0,0,0,0,0,0,0
Karl Amon,8,25,18,21.67,0.33,0.33,0.0,100,67,33,33,0,0
Lachlan Bramble,4,22,7,12.67,0.0,0.0,1.0,33,33,0,0,0,0
Lloyd Meek,6,12,10,10.67,0.0,0.33,1.0,0,0,0,0,0,0
Luke Breust,7,14,7,10.0,1.33,1.0,1.67,0,0,0,67,33,33
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0,0
Mitch Lewis,2,16,11,13.5,1.5,2.0,0.5,50,0,0,100,50,0
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0,0
Ned Reeves,8,15,4,9.0,0.33,0.33,0.0,33,0,0,33,0,0
Sam Frost,8,20,13,16.33,0.0,0.0,0.33,67,33,0,0,0,0
Seamus Mitchell,4,15,11,13.33,0.0,0.33,0.0,33,0,0,0,0,0
Tyler Brockman,6,11,9,10.0,0.67,0.33,0.33,0,0,0,33,33,0
Will Day,6,30,22,26.0,0.67,0.0,1.0,100,100,67,67,0,0
