Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Brandon Starcevich,8,20,4,11.75,0.0,0.0,0.62,38,12,0,0,0,0
Cam Rayner,8,17,9,14.25,1.12,0.25,0.88,62,0,0,62,25,12
Charlie Cameron,8,15,6,11.62,3.25,1.0,1.0,12,0,0,88,75,50
Conor McKenna,8,20,14,16.38,0.38,0.38,0.25,75,12,0,38,0,0
Daniel Rich,5,27,13,20.0,0.2,0.0,1.0,60,60,40,20,0,0
Darcy Fort,3,13,9,11.33,0.33,0.67,0.67,0,0,0,33,0,0
Darcy Wilmot,8,15,8,11.0,0.25,0.25,0.75,25,0,0,25,0,0
Dayne Zorko,6,22,16,19.17,0.67,0.5,0.67,100,33,0,50,17,0
Deven Robertson,3,6,1,2.67,0.0,0.0,0.33,0,0,0,0,0,0
Eric Hipwood,8,15,4,8.62,1.62,0.88,0.75,12,0,0,88,50,12
Harris Andrews,8,22,9,15.62,0.0,0.0,1.0,50,38,0,0,0,0
Harry Sharp,1,13,13,13.0,1.0,0.0,1.0,0,0,0,100,0,0
Hugh McCluggage,8,27,13,20.62,0.12,0.38,0.62,88,75,12,12,0,0
Jack Gunston,7,15,6,10.29,1.43,1.0,0.43,14,0,0,71,57,14
Jack Payne,8,14,4,10.5,0.0,0.0,0.5,0,0,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0,0
Jarrod Berry,8,29,12,17.88,0.5,0.12,0.75,88,25,12,38,12,0
Jarryd Lyons,3,7,2,5.33,0.0,0.0,0.67,0,0,0,0,0,0
Jaxon Prior,2,12,2,7.0,0.5,0.0,0.5,0,0,0,50,0,0
Joe Daniher,8,20,7,14.0,2.25,1.5,1.12,50,12,0,88,62,38
Josh Dunkley,8,33,19,25.12,0.0,0.38,1.62,100,88,62,0,0,0
Keidean Coleman,7,16,13,14.57,0.0,0.0,1.0,43,0,0,0,0,0
Lachie Neale,8,37,20,26.5,0.12,0.75,1.75,100,100,50,12,0,0
Lincoln McCarthy,8,17,8,10.25,0.88,0.25,0.75,12,0,0,62,12,12
Noah Answerth,3,16,5,9.33,0.0,0.0,1.0,33,0,0,0,0,0
Oscar McInerney,8,18,9,12.5,0.25,0.25,1.5,25,0,0,25,0,0
Ryan Lester,2,13,9,11.0,0.0,0.5,1.5,0,0,0,0,0,0
Will Ashcroft,8,31,13,22.0,0.62,0.25,1.25,75,62,38,50,12,0
Zac Bailey,8,21,10,15.75,1.38,0.62,0.75,62,12,0,62,50,12
