Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alwyn Davey,6,12,6,9.33,0.5,0.17,0.5,0,0,0,50,0,0
Andrew McGrath,8,25,19,22.12,0.0,0.0,0.88,100,88,25,0,0,0
Anthony McDonald Tipungwuti,3,13,4,7.67,1.0,0.67,0.33,0,0,0,100,0,0
Archie Perkins,8,20,8,14.38,1.38,0.88,0.5,38,12,0,88,38,12
Ben Hobbs,3,17,6,12.67,0.67,0.0,0.67,67,0,0,67,0,0
Brandon Zerk Thatcher,7,19,6,10.71,0.0,0.0,0.43,14,0,0,0,0,0
Darcy Parish,8,38,27,33.5,0.12,0.0,1.25,100,100,100,12,0,0
Dylan Shiel,8,28,19,23.5,0.75,0.12,0.62,100,75,38,38,38,0
Dyson Heppell,7,19,14,16.57,0.14,0.0,0.43,86,0,0,14,0,0
Jake Kelly,8,29,8,14.62,0.0,0.0,0.62,38,12,12,0,0,0
Jake Stringer,6,26,8,14.5,2.17,1.83,0.83,50,17,17,100,50,33
Jayden Laverde,6,22,8,15.17,0.0,0.0,0.17,50,33,0,0,0,0
Jordan Ridley,8,23,4,17.75,0.12,0.0,0.62,88,50,0,12,0,0
Jye Caldwell,8,20,10,15.62,0.62,0.88,0.62,75,12,0,50,12,0
Jye Menzie,7,17,3,9.43,1.0,0.71,0.14,14,0,0,71,29,0
Kyle Langford,8,22,11,16.0,1.75,0.75,0.5,62,12,0,75,50,25
Mason Redman,8,27,16,21.0,0.5,0.25,0.75,100,62,12,38,12,0
Matt Guelfi,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100,0
Nic Martin,8,28,13,20.25,0.88,0.38,0.62,88,50,12,62,25,0
Nick Hind,4,15,7,11.5,0.5,0.25,0.0,25,0,0,25,25,0
Sam Draper,8,16,7,11.75,1.0,0.88,1.38,38,0,0,62,25,12
Sam Durham,7,24,9,16.71,0.14,0.29,1.14,71,29,0,14,0,0
Sam Weideman,6,14,3,10.33,1.83,0.83,1.33,0,0,0,67,67,17
Will Setterfield,8,28,16,21.38,0.25,0.38,0.88,100,62,25,25,0,0
Will Snelling,3,13,5,9.67,0.33,0.67,1.0,0,0,0,33,0,0
Zach Merrett,7,35,19,27.86,0.29,0.57,1.29,100,86,86,29,0,0
