Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Ash Johnson,6,15,4,9.33,1.17,1.17,0.67,17,0,0,100,17,0
Beau McCreery,8,20,2,11.62,0.88,0.25,0.25,25,12,0,50,38,0
Billy Frampton,7,15,8,10.71,0.43,0.29,0.29,14,0,0,43,0,0
Brayden Maynard,8,25,9,18.38,0.0,0.25,0.5,75,50,12,0,0,0
Brody Mihocek,8,17,6,10.38,2.38,0.62,0.5,12,0,0,88,75,50
Daniel McStay,5,16,1,8.6,0.6,0.6,0.8,20,0,0,60,0,0
Darcy Cameron,3,18,10,13.0,0.0,0.67,2.33,33,0,0,0,0,0
Darcy Moore,8,23,7,15.75,0.0,0.12,1.38,62,25,0,0,0,0
Isaac Quaynor,8,22,8,15.0,0.0,0.0,0.75,62,25,0,0,0,0
Jack Crisp,8,26,15,21.38,0.12,0.38,0.88,100,75,25,12,0,0
Jack Ginnivan,4,13,6,10.25,1.0,0.75,0.25,0,0,0,75,25,0
Jeremy Howe,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0,0
John Noble,8,29,16,21.62,0.12,0.12,1.88,100,62,12,12,0,0
Jordan De Goey,7,35,12,23.14,1.14,0.86,1.14,86,71,43,71,29,14
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Josh Daicos,8,31,23,27.25,0.5,0.5,1.0,100,100,75,38,12,0
Mason Cox,3,12,6,8.33,1.0,0.33,2.0,0,0,0,67,33,0
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0,0
Nathan Murphy,7,14,6,9.71,0.0,0.0,1.86,0,0,0,0,0,0
Nick Daicos,8,42,25,34.0,0.75,0.38,1.0,100,100,100,38,38,0
Reef McInnes,3,4,1,2.33,1.0,0.33,0.33,0,0,0,67,33,0
Scott Pendlebury,7,31,20,24.57,0.43,0.0,1.29,100,100,43,43,0,0
Steele Sidebottom,8,30,12,22.38,0.25,0.25,0.38,88,75,25,25,0,0
Taylor Adams,7,22,16,18.43,0.57,0.71,1.29,100,43,0,43,14,0
Tom Mitchell,8,30,20,25.0,0.5,0.0,2.12,100,100,50,38,12,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0,0
Will Hoskin Elliott,8,18,5,12.5,0.38,0.0,0.38,38,0,0,38,0,0
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0,0
