Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Witherden,7,23,15,19.33,0.33,0.0,1.0,100,67,0,33,0,0
Andrew Gaff,8,32,14,21.0,0.0,0.33,1.0,67,33,33,0,0,0
Bailey J. Williams,8,21,13,15.67,0.33,0.0,2.0,33,33,0,33,0,0
Brady Hough,2,11,7,9.0,0.0,0.0,1.0,0,0,0,0,0,0
Callum Jamieson,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Campbell Chesser,3,12,5,7.67,0.0,0.67,0.33,0,0,0,0,0,0
Connor West,5,14,13,13.67,0.33,0.67,0.67,0,0,0,33,0,0
Dom Sheed,4,29,22,25.67,0.33,0.33,0.67,100,100,67,33,0,0
Elijah Hewett,3,14,3,8.33,0.0,0.67,0.0,0,0,0,0,0,0
Elliot Yeo,2,12,12,12.0,0.0,0.0,1.0,0,0,0,0,0,0
Greg Clark,5,19,12,14.67,0.0,0.0,0.33,33,0,0,0,0,0
Jack Darling,8,8,4,6.67,1.0,1.0,0.33,0,0,0,67,33,0
Jack Petruccelle,5,14,10,12.33,0.67,0.33,1.0,0,0,0,67,0,0
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33,33
Jake Waterman,7,23,10,15.33,0.33,1.0,0.33,33,33,0,33,0,0
Jamaine Jones,8,30,15,22.33,0.0,0.33,1.67,100,67,33,0,0,0
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33,33
Jayden Hunt,8,23,19,20.33,0.0,0.33,0.67,100,33,0,0,0,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0,0
Josh Rotham,5,13,5,8.67,0.0,0.0,0.33,0,0,0,0,0,0
Liam Duggan,8,27,20,23.33,0.0,0.0,0.67,100,100,33,0,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33,33
Luke Edwards,5,17,11,14.33,0.0,0.0,1.33,67,0,0,0,0,0
Luke Foley,3,15,9,11.67,0.0,0.0,0.33,33,0,0,0,0,0
Luke Shuey,4,20,9,15.33,0.0,0.33,2.67,67,33,0,0,0,0
Noah Long,5,18,11,14.0,0.33,0.67,0.33,33,0,0,33,0,0
Oscar Allen,8,15,9,11.0,2.67,0.67,1.33,33,0,0,100,100,33
Reuben Ginbey,8,16,10,12.67,0.0,0.0,1.0,33,0,0,0,0,0
Rhett Bazzo,2,6,3,4.5,0.0,0.0,0.5,0,0,0,0,0,0
Sam Petrevski Seton,6,11,4,8.0,0.33,0.0,0.33,0,0,0,33,0,0
Shannon Hurn,6,22,12,17.67,0.0,0.0,0.33,67,33,0,0,0,0
Tim Kelly,8,34,27,30.0,0.0,0.0,1.33,100,100,100,0,0,0
Tom Barrass,8,17,4,10.0,0.0,0.0,0.33,33,0,0,0,0,0
Tom Cole,4,19,11,14.67,0.0,0.0,0.33,33,0,0,0,0,0
Zane Trew,2,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0,0
