Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Davies,3,16,10,12.67,0.0,0.0,0.67,33,0,0,0,0,0
Alex Sexton,5,8,3,4.67,0.33,0.33,0.33,0,0,0,33,0,0
Bailey Humphrey,5,15,1,8.67,0.67,0.33,1.33,33,0,0,33,33,0
Ben Ainsworth,7,24,11,16.33,1.0,0.67,1.0,33,33,0,67,33,0
Ben King,8,10,5,8.33,3.67,0.0,2.33,0,0,0,100,100,67
Ben Long,8,14,12,12.67,0.0,0.0,0.33,0,0,0,0,0,0
Bodhi Uwland,2,20,5,12.5,0.0,0.0,1.0,50,50,0,0,0,0
Brandon Ellis,4,25,11,19.0,0.67,0.67,0.33,67,67,33,67,0,0
Brayden Fiorini,6,24,20,21.67,0.33,0.67,1.0,100,100,0,33,0,0
Charlie Ballard,8,24,16,19.0,0.0,0.0,1.33,100,33,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0,0
Darcy Macpherson,8,31,24,28.33,0.0,0.33,0.0,100,100,67,0,0,0
David Swallow,8,25,16,19.33,0.0,0.0,0.33,100,33,33,0,0,0
Elijah Hollands,4,15,10,12.33,0.33,0.0,0.33,33,0,0,33,0,0
Hewago Paul Oea,2,11,10,10.5,0.0,0.0,0.0,0,0,0,0,0,0
Jack Lukosius,8,20,12,15.67,0.67,2.0,1.33,67,33,0,67,0,0
James Tsitas,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Jarrod Witts,6,17,13,15.33,0.67,0.0,2.67,67,0,0,67,0,0
Joel Jeffrey,4,11,5,8.33,1.0,1.33,1.0,0,0,0,100,0,0
Jy Farrar,2,18,14,16.0,0.0,0.5,2.0,50,0,0,0,0,0
Lachie Weller,6,28,18,22.0,0.0,0.0,0.33,100,67,33,0,0,0
Levi Casboult,6,13,9,10.67,1.0,0.33,0.67,0,0,0,67,33,0
Mabior Chol,5,13,3,7.0,1.33,1.0,0.67,0,0,0,67,67,0
Mac Andrew,3,12,7,10.33,0.0,0.0,0.33,0,0,0,0,0,0
Malcolm Rosas,7,9,3,6.0,1.33,0.0,0.33,0,0,0,33,33,33
Matt Rowell,8,26,18,20.67,0.0,0.0,1.67,100,33,33,0,0,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0,0
Nick Holman,7,15,8,12.0,1.33,0.33,1.0,33,0,0,100,33,0
Noah Anderson,8,37,28,32.33,0.67,0.67,0.0,100,100,100,67,0,0
Rory Atkins,2,25,22,23.5,0.0,0.5,0.5,100,100,50,0,0,0
Sam Flanders,4,13,7,10.33,0.0,0.0,0.33,0,0,0,0,0,0
Sam Collins,8,14,8,11.33,0.0,0.0,1.0,0,0,0,0,0,0
Sean Lemmens,4,13,10,12.0,0.0,0.33,0.67,0,0,0,0,0,0
Thomas Berry,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0,0
Touk Miller,6,32,13,23.67,0.0,0.0,1.33,67,67,67,0,0,0
Wil Powell,6,28,20,24.33,0.0,0.0,0.33,100,100,67,0,0,0
