Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Davies,3,16,10,12.67,0.0,0.0,0.67,33,0,0,0,0,0
Alex Sexton,5,8,3,4.4,0.6,0.6,0.2,0,0,0,60,0,0
Bailey Humphrey,5,15,1,8.4,0.6,0.8,1.2,20,0,0,40,20,0
Ben Ainsworth,7,24,11,16.86,1.0,0.86,0.86,71,14,0,71,29,0
Ben King,8,12,4,7.38,2.25,0.38,1.25,0,0,0,100,62,25
Ben Long,8,19,9,12.88,0.0,0.0,0.25,25,0,0,0,0,0
Bodhi Uwland,2,20,5,12.5,0.0,0.0,1.0,50,50,0,0,0,0
Brandon Ellis,4,25,11,18.25,0.5,0.5,0.5,75,50,25,50,0,0
Brayden Fiorini,6,24,8,16.0,0.5,0.67,1.0,50,50,0,50,0,0
Charlie Ballard,8,24,6,14.12,0.12,0.0,0.75,38,12,0,12,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0,0
Darcy Macpherson,8,31,17,23.88,0.0,0.12,0.5,100,75,38,0,0,0
David Swallow,8,25,14,18.0,0.5,0.38,0.75,88,38,12,25,12,12
Elijah Hollands,4,15,10,13.0,0.25,0.25,0.25,50,0,0,25,0,0
Hewago Paul Oea,2,11,10,10.5,0.0,0.0,0.0,0,0,0,0,0,0
Jack Lukosius,8,20,11,14.75,1.12,1.75,1.12,50,12,0,62,12,12
James Tsitas,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Jarrod Witts,6,25,12,16.0,0.5,0.17,2.33,50,17,17,50,0,0
Joel Jeffrey,4,11,5,8.0,1.0,1.0,0.75,0,0,0,100,0,0
Jy Farrar,2,18,14,16.0,0.0,0.5,2.0,50,0,0,0,0,0
Lachie Weller,6,30,18,24.83,0.0,0.17,0.17,100,83,50,0,0,0
Levi Casboult,6,18,4,10.33,0.83,0.33,0.5,17,0,0,50,33,0
Mabior Chol,5,13,3,7.0,1.0,1.0,0.4,0,0,0,60,40,0
Mac Andrew,3,12,7,10.33,0.0,0.0,0.33,0,0,0,0,0,0
Malcolm Rosas,7,11,3,8.0,0.86,0.71,0.57,0,0,0,43,14,14
Matt Rowell,8,28,12,20.62,0.0,0.12,2.0,88,50,25,0,0,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0,0
Nick Holman,7,19,8,13.57,0.86,0.57,0.86,43,0,0,71,14,0
Noah Anderson,8,38,17,27.88,0.88,0.88,0.25,100,88,75,75,12,0
Rory Atkins,2,25,22,23.5,0.0,0.5,0.5,100,100,50,0,0,0
Sam Flanders,4,19,7,12.5,0.5,0.0,0.25,25,0,0,25,25,0
Sam Collins,8,17,8,13.25,0.0,0.0,0.88,38,0,0,0,0,0
Sean Lemmens,4,13,8,11.0,0.0,0.25,1.0,0,0,0,0,0,0
Thomas Berry,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0,0
Touk Miller,6,32,13,25.17,0.0,0.0,1.5,83,83,67,0,0,0
Wil Powell,6,28,13,20.0,0.0,0.17,0.5,83,50,33,0,0,0
