Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Witherden,7,23,7,16.71,0.14,0.0,1.29,86,29,0,14,0,0
Andrew Gaff,8,32,14,22.25,0.0,0.25,1.0,88,62,25,0,0,0
Bailey J. Williams,8,21,8,13.38,0.12,0.0,1.75,25,12,0,12,0,0
Brady Hough,2,11,7,9.0,0.0,0.0,1.0,0,0,0,0,0,0
Callum Jamieson,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Campbell Chesser,3,12,5,7.67,0.0,0.67,0.33,0,0,0,0,0,0
Connor West,5,14,4,11.2,0.4,0.6,0.8,0,0,0,40,0,0
Dom Sheed,4,29,22,25.5,0.25,0.25,1.0,100,100,75,25,0,0
Elijah Hewett,3,14,3,8.33,0.0,0.67,0.0,0,0,0,0,0,0
Elliot Yeo,2,12,12,12.0,0.0,0.0,1.0,0,0,0,0,0,0
Greg Clark,5,19,12,15.4,0.0,0.4,0.4,60,0,0,0,0,0
Jack Darling,8,14,4,9.62,1.25,1.38,0.75,0,0,0,75,38,12
Jack Petruccelle,5,14,1,9.6,0.6,0.2,0.8,0,0,0,60,0,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20,20
Jake Waterman,7,23,10,15.29,1.43,1.0,1.0,43,29,0,57,29,29
Jamaine Jones,8,30,14,21.12,0.25,0.12,0.88,75,62,38,12,12,0
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33,33
Jayden Hunt,8,23,12,19.25,0.5,0.38,0.5,88,50,0,38,12,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0,0
Josh Rotham,5,13,2,7.4,0.0,0.0,0.2,0,0,0,0,0,0
Liam Duggan,8,27,14,20.25,0.0,0.0,0.5,88,50,12,0,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33,33
Luke Edwards,5,17,10,13.8,0.0,0.0,1.4,60,0,0,0,0,0
Luke Foley,3,15,9,11.67,0.0,0.0,0.33,33,0,0,0,0,0
Luke Shuey,4,27,9,18.25,0.25,0.5,2.25,75,50,25,25,0,0
Noah Long,5,18,7,11.8,0.4,0.4,0.4,20,0,0,40,0,0
Oscar Allen,8,15,9,11.38,2.75,1.38,1.62,12,0,0,100,100,50
Reuben Ginbey,8,20,9,14.12,0.12,0.12,0.75,50,12,0,12,0,0
Rhett Bazzo,2,6,3,4.5,0.0,0.0,0.5,0,0,0,0,0,0
Sam Petrevski Seton,6,22,4,12.67,0.33,0.0,0.67,33,33,0,33,0,0
Shannon Hurn,6,27,12,21.0,0.0,0.0,0.33,83,67,33,0,0,0
Tim Kelly,8,36,22,29.38,0.5,0.25,1.0,100,100,75,38,12,0
Tom Barrass,8,21,4,13.12,0.0,0.0,0.75,50,12,0,0,0,0
Tom Cole,4,20,11,16.0,0.0,0.0,0.25,50,25,0,0,0,0
Zane Trew,2,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0,0
