Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-05 15:35:00,Win,Lose,Richmond,Melbourne
2021-04-24 19:25:00,Lose,Win,Richmond,Melbourne
2022-04-24 19:25:00,Lose,Win,Richmond,Melbourne
2023-04-24 19:25:00,Lose,Win,Richmond,Melbourne
2023-07-30 15:20:00,Lose,Win,Richmond,Melbourne
2020-07-03 19:50:00,Win,Lose,Essendon,Collingwood
2021-04-25 15:20:00,Win,Lose,Essendon,Collingwood
2021-08-22 15:20:00,Win,Lose,Essendon,Collingwood
2022-04-25 15:20:00,Lose,Win,Essendon,Collingwood
2022-07-24 15:20:00,Lose,Win,Essendon,Collingwood
2020-07-18 13:45:00,Lose,Win,GWS Giants,Brisbane Lions
2021-05-29 14:10:00,Lose,Win,GWS Giants,Brisbane Lions
2022-05-28 13:45:00,Lose,Win,GWS Giants,Brisbane Lions
2022-07-16 13:45:00,Lose,Win,GWS Giants,Brisbane Lions
2023-04-22 16:35:00,Lose,Win,GWS Giants,Brisbane Lions
2020-07-25 19:40:00,Lose,Win,Port Adelaide,St Kilda
2021-04-25 18:40:00,Win,Lose,Port Adelaide,St Kilda
2021-07-17 13:45:00,Win,Lose,Port Adelaide,St Kilda
2022-04-30 19:25:00,Win,Lose,Port Adelaide,St Kilda
2023-04-28 19:50:00,Win,Lose,Port Adelaide,St Kilda
2020-08-01 14:35:00,Win,Lose,North Melbourne,Adelaide Crows
2021-04-11 13:10:00,Lose,Win,North Melbourne,Adelaide Crows
2021-08-22 16:40:00,Lose,Win,North Melbourne,Adelaide Crows
2022-06-26 13:10:00,Lose,Win,North Melbourne,Adelaide Crows
2022-08-13 14:10:00,Lose,Win,North Melbourne,Adelaide Crows
2020-06-20 19:40:00,Lose,Win,Geelong Cats,Carlton
2021-07-10 16:35:00,Win,Lose,Geelong Cats,Carlton
2022-07-16 19:25:00,Win,Lose,Geelong Cats,Carlton
2023-03-23 19:20:00,Lose,Win,Geelong Cats,Carlton
2020-09-20 18:10:00,Lose,Win,Fremantle,Western Bulldogs
2021-06-06 18:40:00,Lose,Win,Fremantle,Western Bulldogs
2022-08-06 16:35:00,Win,Lose,Fremantle,Western Bulldogs
2022-09-03 20:10:00,Win,Lose,Fremantle,Western Bulldogs
2023-04-21 20:10:00,Lose,Win,Fremantle,Western Bulldogs
2020-06-13 19:40:00,Win,Lose,Gold Coast Suns,West Coast Eagles
2021-03-21 18:10:00,Lose,Win,Gold Coast Suns,West Coast Eagles
2022-03-20 19:40:00,Win,Lose,Gold Coast Suns,West Coast Eagles
2022-07-31 13:10:00,Win,Lose,Gold Coast Suns,West Coast Eagles
2023-05-12 20:40:00,Win,Lose,Gold Coast Suns,West Coast Eagles
2020-07-25 15:35:00,Lose,Win,Hawthorn,Sydney Swans
2021-06-11 19:50:00,Win,Lose,Hawthorn,Sydney Swans
2022-04-25 12:30:00,Lose,Win,Hawthorn,Sydney Swans
2023-03-26 13:10:00,Lose,Win,Hawthorn,Sydney Swans
