Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Ben Miller,5,15,2,9.0,0.2,0.2,0.8,20,0,0,20,0,0
Daniel Rioli,8,29,21,23.0,0.0,0.0,0.6,100,100,20,0,0,0
Dion Prestia,7,23,20,21.0,0.6,0.0,0.6,100,100,0,20,20,20
Dustin Martin,7,27,17,22.2,0.6,1.0,0.8,100,60,40,60,0,0
Dylan Grimes,8,9,6,7.8,0.0,0.0,1.8,0,0,0,0,0,0
Hugo Ralphsmith,5,19,4,13.6,0.2,0.4,0.0,60,0,0,20,0,0
Ivan Soldo,1,11,11,11.0,1.0,1.0,2.0,0,0,0,100,0,0
Jack Graham,5,20,10,14.2,0.4,0.6,1.4,40,20,0,40,0,0
Jack Riewoldt,7,12,4,8.2,2.2,1.0,1.0,0,0,0,80,60,40
Jack Ross,4,23,4,16.5,0.25,0.0,0.75,75,50,0,25,0,0
Jacob Hopper,7,32,21,26.4,0.6,0.6,1.6,100,100,40,60,0,0
Jayden Short,5,32,17,23.4,0.2,0.2,0.8,100,60,40,20,0,0
Judson Clarke,6,20,5,11.8,0.6,0.0,0.2,40,20,0,60,0,0
Kamdyn McIntosh,8,19,9,13.8,0.0,0.0,0.4,60,0,0,0,0,0
Liam Baker,8,35,14,23.4,0.2,0.8,1.0,80,80,40,20,0,0
Marlion Pickett,8,23,14,18.0,0.4,0.4,1.2,80,40,0,40,0,0
Maurice Rioli,5,11,3,6.8,0.4,0.2,0.8,0,0,0,20,20,0
Nathan Broad,4,20,13,16.25,0.25,0.0,0.75,75,25,0,25,0,0
Nick Vlastuin,8,21,17,19.4,0.0,0.0,1.2,100,60,0,0,0,0
Noah Balta,8,20,10,13.8,0.0,0.0,0.8,40,20,0,0,0,0
Noah Cumberland,6,21,2,8.6,1.2,1.0,1.4,20,20,0,60,40,20
Rhyan Mansell,7,12,4,8.0,0.6,0.6,0.6,0,0,0,60,0,0
Samson Ryan,7,11,7,8.8,1.2,0.4,0.2,0,0,0,100,20,0
Shai Bolton,8,31,16,21.6,1.4,1.2,1.0,100,60,20,60,40,40
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75,50
Tim Taranto,8,34,27,31.2,0.8,0.6,0.6,100,100,100,60,20,0
Toby Nankervis,4,20,14,16.75,0.0,0.0,1.75,75,25,0,0,0,0
Trent Cotchin,7,23,7,13.8,0.0,0.2,0.8,40,20,0,0,0,0
Tylar Young,6,14,6,10.4,0.0,0.0,0.2,0,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0,0
