Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Brad Close,8,17,8,13.0,1.25,0.62,1.0,50,0,0,62,38,12
Brandan Parfitt,2,13,5,9.0,0.0,0.0,0.5,0,0,0,0,0,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0
Esava Ratugolea,8,14,5,9.88,0.0,0.0,0.75,0,0,0,0,0,0
Gary Rohan,6,11,5,7.67,1.33,0.67,0.5,0,0,0,100,33,0
Gryan Miers,8,25,12,18.5,0.12,0.62,0.88,88,25,12,12,0,0
Isaac Smith,8,27,19,22.0,0.38,0.62,0.38,100,75,12,38,0,0
Jack Bowes,6,22,3,15.17,0.33,0.5,0.5,50,33,0,33,0,0
Jake Kolodjashnij,5,17,9,14.0,0.0,0.4,0.4,60,0,0,0,0,0
Jed Bews,6,13,2,9.5,0.0,0.0,0.0,0,0,0,0,0,0
Jeremy Cameron,8,25,15,18.5,4.12,1.25,1.12,100,38,12,100,100,88
Jonathon Ceglar,2,14,12,13.0,0.0,0.0,1.0,0,0,0,0,0,0
Mark Blicavs,8,18,9,15.0,0.62,0.25,1.25,75,0,0,50,12,0
Max Holmes,8,26,15,20.5,0.62,0.12,0.88,100,62,12,62,0,0
Mitch Duncan,5,31,14,19.4,0.0,0.2,0.8,80,40,20,0,0,0
Mitchell Knevitt,3,15,3,11.0,0.33,0.0,0.0,67,0,0,33,0,0
Oliver Henry,8,17,9,12.38,1.62,1.25,1.25,38,0,0,88,75,0
Oliver Dempsey,1,6,6,6.0,0.0,1.0,0.0,0,0,0,0,0,0
Patrick Dangerfield,8,31,16,23.5,0.5,0.5,1.5,100,75,38,50,0,0
Rhys Stanley,4,16,9,12.75,0.0,0.0,1.75,50,0,0,0,0,0
Sam De Koning,6,14,7,10.67,0.0,0.0,0.33,0,0,0,0,0,0
Sam Simpson,3,14,9,11.0,2.0,1.0,0.67,0,0,0,100,100,0
Tanner Bruhn,5,17,10,12.6,0.6,0.0,0.2,20,0,0,40,20,0
Tom Stewart,7,29,3,21.29,0.0,0.0,0.71,86,86,29,0,0,0
Tom Atkins,8,21,13,16.75,0.25,0.12,1.75,75,25,0,25,0,0
Tom Hawkins,8,16,5,11.38,2.88,1.12,0.62,25,0,0,88,62,38
Tyson Stengle,5,17,6,10.8,1.0,0.2,0.2,20,0,0,60,40,0
Zach Guthrie,8,19,12,14.62,0.0,0.0,0.88,38,0,0,0,0,0
Zach Tuohy,7,21,11,15.57,0.57,0.29,0.71,57,14,0,43,14,0
