Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Ben Miller,5,15,2,9.0,0.2,0.2,0.8,20,0,0,20,0,0
Daniel Rioli,8,29,21,23.75,0.0,0.0,0.75,100,100,38,0,0,0
Dion Prestia,7,23,20,21.29,0.43,0.14,0.57,100,100,0,14,14,14
Dustin Martin,7,27,14,21.14,0.71,0.71,0.57,86,57,29,71,0,0
Dylan Grimes,8,12,6,8.75,0.0,0.0,1.75,0,0,0,0,0,0
Hugo Ralphsmith,5,19,4,13.6,0.2,0.4,0.0,60,0,0,20,0,0
Ivan Soldo,1,11,11,11.0,1.0,1.0,2.0,0,0,0,100,0,0
Jack Graham,5,20,10,14.2,0.4,0.6,1.4,40,20,0,40,0,0
Jack Riewoldt,7,12,4,8.86,2.0,1.0,0.86,0,0,0,86,57,29
Jack Ross,4,23,4,16.5,0.25,0.0,0.75,75,50,0,25,0,0
Jacob Hopper,7,32,18,24.71,0.57,0.43,1.71,100,86,29,57,0,0
Jayden Short,5,32,17,23.4,0.2,0.2,0.8,100,60,40,20,0,0
Judson Clarke,6,20,5,11.83,0.67,0.0,0.67,33,17,0,67,0,0
Kamdyn McIntosh,8,19,9,14.75,0.0,0.25,0.38,62,0,0,0,0,0
Liam Baker,8,35,14,23.62,0.25,0.5,1.25,88,75,50,25,0,0
Marlion Pickett,8,23,10,17.25,0.25,0.25,1.0,75,25,0,25,0,0
Maurice Rioli,5,11,3,6.8,0.4,0.2,0.8,0,0,0,20,20,0
Nathan Broad,4,20,13,16.25,0.25,0.0,0.75,75,25,0,25,0,0
Nick Vlastuin,8,21,11,18.5,0.0,0.12,1.0,88,62,0,0,0,0
Noah Balta,8,20,8,12.62,0.0,0.0,0.5,25,12,0,0,0,0
Noah Cumberland,6,21,2,8.33,1.0,0.83,1.33,17,17,0,50,33,17
Rhyan Mansell,7,12,3,7.14,0.57,0.43,0.57,0,0,0,57,0,0
Samson Ryan,7,11,2,7.43,1.29,0.29,0.43,0,0,0,86,29,14
Shai Bolton,8,31,16,20.5,1.25,0.88,0.88,100,50,12,75,25,25
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75,50
Tim Taranto,8,34,27,30.62,0.5,0.88,0.62,100,100,100,38,12,0
Toby Nankervis,4,20,14,16.75,0.0,0.0,1.75,75,25,0,0,0,0
Trent Cotchin,7,23,7,14.86,0.14,0.14,0.71,57,14,0,14,0,0
Tylar Young,6,14,5,9.5,0.0,0.0,0.33,0,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0,0
