Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Adam Cerra,8,39,18,27.12,0.38,0.25,2.5,100,88,62,38,0,0
Adam Saad,7,29,17,22.86,0.0,0.0,0.43,100,71,43,0,0,0
Alex Cincotta,3,24,17,20.33,0.0,0.33,0.67,100,67,0,0,0,0
Blake Acres,7,36,16,26.43,0.29,0.14,0.71,100,86,57,29,0,0
Brodie Kemp,2,22,14,18.0,0.5,0.0,0.0,50,50,0,50,0,0
Charlie Curnow,8,18,9,13.25,3.88,2.0,1.25,50,0,0,100,88,62
Corey Durdin,7,11,7,8.57,1.29,0.86,0.29,0,0,0,100,29,0
Ed Curnow,8,26,5,16.38,0.25,0.38,0.12,62,25,12,25,0,0
George Hewett,7,32,15,23.71,0.0,0.0,1.0,100,71,57,0,0,0
Harry McKay,8,17,6,11.5,1.5,1.12,1.12,25,0,0,88,38,12
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Jack Martin,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0,0
Jack Silvagni,8,19,5,14.25,1.0,0.75,1.0,50,0,0,62,25,12
Jacob Weitering,8,22,11,15.75,0.0,0.0,1.0,62,25,0,0,0,0
Jesse Motlop,7,17,5,10.0,1.14,0.14,1.14,14,0,0,71,43,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0,0
Lachie Cowan,6,12,7,9.83,0.0,0.0,0.83,0,0,0,0,0,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0,0
Lewis Young,8,22,11,14.88,0.0,0.0,0.75,38,25,0,0,0,0
Marc Pittonet,7,13,1,9.86,0.0,0.0,0.86,0,0,0,0,0,0
Matthew Owies,3,13,4,9.0,2.0,0.33,1.0,0,0,0,100,67,33
Matthew Kennedy,6,26,7,17.5,0.33,0.33,0.5,67,50,17,33,0,0
Mitch McGovern,7,27,8,16.71,0.0,0.0,0.71,71,43,14,0,0,0
Nic Newman,8,34,14,22.62,0.12,0.12,1.12,88,62,25,12,0,0
Oliver Hollands,8,22,11,15.75,0.25,0.25,1.12,50,38,0,25,0,0
Patrick Cripps,8,42,17,28.25,0.12,0.88,1.75,100,75,75,12,0,0
Sam Docherty,6,39,19,26.17,0.5,0.0,1.0,100,83,50,50,0,0
Sam Walsh,4,38,25,30.25,0.25,0.25,0.25,100,100,100,25,0,0
Tom De Koning,5,13,9,11.2,0.2,0.4,1.4,0,0,0,20,0,0
Zac Fisher,7,28,7,18.29,0.29,0.57,0.29,71,43,14,29,0,0
