Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Adam Cerra,8,39,18,28.6,0.6,0.2,2.2,100,80,60,60,0,0
Adam Saad,7,25,17,22.6,0.0,0.0,0.2,100,80,40,0,0,0
Alex Cincotta,3,24,17,20.33,0.0,0.33,0.67,100,67,0,0,0,0
Blake Acres,7,36,21,28.6,0.4,0.2,0.4,100,100,60,40,0,0
Brodie Kemp,2,22,14,18.0,0.5,0.0,0.0,50,50,0,50,0,0
Charlie Curnow,8,18,9,13.6,4.2,2.2,2.0,60,0,0,100,80,60
Corey Durdin,7,11,7,8.8,1.4,0.6,0.2,0,0,0,100,40,0
Ed Curnow,8,23,5,15.6,0.2,0.2,0.2,80,20,0,20,0,0
George Hewett,7,32,15,23.6,0.0,0.0,0.8,100,60,60,0,0,0
Harry McKay,8,17,6,12.4,2.0,1.0,0.8,40,0,0,100,60,20
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Jack Martin,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0,0
Jack Silvagni,8,18,13,15.4,1.2,0.8,1.0,60,0,0,60,40,20
Jacob Weitering,8,22,11,15.4,0.0,0.0,1.0,60,20,0,0,0,0
Jesse Motlop,7,17,5,9.6,1.4,0.2,1.2,20,0,0,80,60,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0,0
Lachie Cowan,6,12,9,10.4,0.0,0.0,0.8,0,0,0,0,0,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0,0
Lewis Young,8,22,11,14.8,0.0,0.0,0.8,40,20,0,0,0,0
Marc Pittonet,7,13,1,9.4,0.0,0.0,0.8,0,0,0,0,0,0
Matthew Owies,3,13,4,9.0,2.0,0.33,1.0,0,0,0,100,67,33
Matthew Kennedy,6,26,7,16.6,0.4,0.2,0.4,60,40,20,40,0,0
Mitch McGovern,7,27,8,17.2,0.0,0.0,1.0,80,40,20,0,0,0
Nic Newman,8,34,18,23.8,0.2,0.2,0.6,100,60,40,20,0,0
Oliver Hollands,8,22,12,16.4,0.4,0.0,1.2,60,40,0,40,0,0
Patrick Cripps,8,34,17,26.4,0.2,0.8,2.2,100,60,60,20,0,0
Sam Docherty,6,39,19,26.4,0.4,0.0,0.8,100,80,40,40,0,0
Sam Walsh,4,38,25,30.25,0.25,0.25,0.25,100,100,100,25,0,0
Tom De Koning,5,13,9,11.2,0.2,0.4,1.4,0,0,0,20,0,0
Zac Fisher,7,28,14,20.4,0.0,0.8,0.4,80,60,20,0,0,0
