Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Naughton,8,15,10,11.88,2.25,1.38,1.62,12,0,0,100,62,50
Adam Treloar,7,35,23,28.86,0.43,0.29,0.71,100,100,71,29,14,0
Alex Keath,7,21,2,12.29,0.0,0.0,0.29,43,14,0,0,0,0
Anthony Scott,8,16,8,11.88,0.38,0.25,0.88,12,0,0,38,0,0
Arthur Jones,6,12,5,8.67,0.5,0.5,0.83,0,0,0,33,17,0
Bailey Dale,8,30,15,21.38,0.0,0.0,0.38,100,50,38,0,0,0
Bailey Smith,6,32,19,25.67,0.0,0.33,0.5,100,83,50,0,0,0
Bailey Williams,8,24,11,17.0,0.75,0.38,0.38,75,25,0,50,12,12
Caleb Daniel,8,29,19,22.88,0.38,0.5,1.0,100,75,25,38,0,0
Cody Weightman,4,11,3,7.25,1.5,1.25,0.75,0,0,0,75,25,25
Ed Richards,8,27,16,21.0,0.0,0.12,0.75,100,50,25,0,0,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0,0
Jack Macrae,8,33,21,27.12,0.25,0.0,1.25,100,100,75,25,0,0
Jamarra Ugle Hagan,8,16,7,10.0,1.12,1.5,1.38,12,0,0,50,25,12
Jason Johannisen,7,28,6,19.14,0.43,0.0,0.43,86,57,14,43,0,0
Josh Bruce,5,17,8,12.8,0.0,0.0,0.8,20,0,0,0,0,0
Lachlan McNeil,3,10,3,5.67,0.33,0.67,0.67,0,0,0,33,0,0
Liam Jones,8,15,1,9.38,0.0,0.0,0.38,12,0,0,0,0,0
Marcus Bontempelli,8,32,19,25.88,0.62,0.62,1.38,100,88,62,50,12,0
Mitch Hannan,3,8,5,6.33,0.67,0.67,1.0,0,0,0,67,0,0
Oskar Baker,8,20,11,15.62,0.38,0.25,0.12,62,25,0,38,0,0
Rhylee West,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0,0
Rory Lobb,7,14,4,8.57,1.14,0.86,1.14,0,0,0,71,43,0
Ryan Gardner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0,0
Taylor Duryea,6,19,8,12.0,0.0,0.0,0.67,17,0,0,0,0,0
Tom Liberatore,7,32,23,27.0,0.71,0.43,0.57,100,100,71,57,14,0
Tim English,8,24,11,19.75,0.75,0.12,1.62,88,75,0,62,12,0
