Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Naughton,8,15,11,12.33,3.33,2.33,1.33,33,0,0,100,100,100
Adam Treloar,7,35,23,27.33,0.67,0.33,1.0,100,100,33,33,33,0
Alex Keath,7,18,9,12.33,0.0,0.0,0.33,33,0,0,0,0,0
Anthony Scott,8,13,8,10.67,1.0,0.33,1.0,0,0,0,100,0,0
Arthur Jones,6,12,9,11.0,1.0,0.67,0.67,0,0,0,67,33,0
Bailey Dale,8,25,15,18.67,0.0,0.0,0.33,100,33,33,0,0,0
Bailey Smith,6,32,24,26.67,0.0,0.33,0.33,100,100,33,0,0,0
Bailey Williams,8,24,16,21.0,1.33,0.0,1.0,100,67,0,67,33,33
Caleb Daniel,8,27,20,23.0,0.67,0.33,1.33,100,100,33,67,0,0
Cody Weightman,4,8,3,6.0,0.67,1.0,0.33,0,0,0,67,0,0
Ed Richards,8,21,16,18.67,0.0,0.0,0.0,100,33,0,0,0,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0,0
Jack Macrae,8,29,26,28.0,0.0,0.0,1.0,100,100,100,0,0,0
Jamarra Ugle Hagan,8,16,9,11.67,1.0,1.33,1.33,33,0,0,67,33,0
Jason Johannisen,7,24,18,21.33,0.67,0.0,0.0,100,67,0,67,0,0
Josh Bruce,5,14,8,11.0,0.0,0.0,1.0,0,0,0,0,0,0
Lachlan McNeil,3,10,3,5.67,0.33,0.67,0.67,0,0,0,33,0,0
Liam Jones,8,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0,0
Marcus Bontempelli,8,32,19,27.33,1.0,0.67,1.0,100,67,67,67,33,0
Mitch Hannan,3,8,5,6.33,0.67,0.67,1.0,0,0,0,67,0,0
Oskar Baker,8,20,15,16.67,0.0,0.33,0.33,100,33,0,0,0,0
Rhylee West,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0,0
Rory Lobb,7,12,7,9.33,1.67,1.0,1.67,0,0,0,100,67,0
Ryan Gardner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0,0
Taylor Duryea,6,12,10,11.33,0.0,0.0,1.0,0,0,0,0,0,0
Tom Liberatore,7,29,25,27.0,0.67,0.33,1.0,100,100,100,67,0,0
Tim English,8,23,11,18.0,0.67,0.33,0.67,67,67,0,67,0,0
