Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aliir Aliir,8,16,9,11.5,0.0,0.0,1.25,25,0,0,0,0,0
Brynn Teakle,3,14,7,9.67,0.0,0.33,0.33,0,0,0,0,0,0
Charlie Dixon,7,15,9,13.0,1.86,1.29,0.71,29,0,0,71,71,43
Connor Rozee,8,29,19,24.12,0.88,0.25,1.62,100,75,50,75,12,0
Dan Houston,8,25,16,20.38,0.25,0.25,1.0,100,62,12,25,0,0
Darcy Byrne Jones,8,27,5,15.12,0.75,0.38,0.5,62,12,12,38,38,0
Dylan Williams,5,24,9,15.2,0.0,0.0,0.8,60,20,0,0,0,0
Francis Evans,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0,0
Jackson Mead,2,9,8,8.5,0.0,0.5,0.0,0,0,0,0,0,0
Jase Burgoyne,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0,0
Jason Horne Francis,8,25,13,18.88,0.25,0.38,1.5,88,38,25,25,0,0
Jed McEntee,5,11,7,9.8,0.8,0.2,0.6,0,0,0,80,0,0
Jeremy Finlayson,6,18,9,14.0,1.83,1.17,1.17,50,0,0,67,50,33
Kane Farrell,6,21,9,15.33,0.17,0.33,0.5,50,17,0,17,0,0
Lachie Jones,3,12,5,9.33,1.33,0.0,0.0,0,0,0,67,33,33
Miles Bergman,8,23,10,15.75,0.0,0.5,0.62,62,25,0,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0,0
Ollie Wines,8,29,19,23.5,0.12,0.25,1.0,100,88,50,12,0,0
Ollie Lord,2,10,5,7.5,0.5,0.5,1.0,0,0,0,50,0,0
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0,0
Riley Bonner,3,20,6,13.67,0.0,1.0,0.0,67,33,0,0,0,0
Ryan Burton,6,24,9,16.83,0.33,0.17,0.67,67,33,0,17,17,0
Sam Powell Pepper,8,21,7,15.0,1.25,1.25,0.62,50,25,0,88,25,12
Scott Lycett,5,14,2,10.2,0.0,0.0,1.6,0,0,0,0,0,0
Tom Jonas,6,12,2,7.0,0.0,0.0,0.67,0,0,0,0,0,0
Todd Marshall,7,13,2,8.71,1.57,0.71,0.57,0,0,0,86,43,14
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Travis Boak,7,30,11,18.14,0.43,0.57,0.57,71,43,14,43,0,0
Trent McKenzie,6,16,6,11.5,0.0,0.0,0.17,17,0,0,0,0,0
Willem Drew,8,25,10,17.38,0.12,0.25,1.12,75,38,12,12,0,0
Willie Rioli,8,16,6,10.38,1.25,1.38,0.62,12,0,0,62,50,12
Xavier Duursma,7,22,5,14.29,0.43,0.0,1.14,43,29,0,43,0,0
Zak Butters,8,32,15,24.5,0.38,0.25,1.38,100,75,62,38,0,0
