Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aliir Aliir,8,16,9,11.6,0.0,0.0,1.4,20,0,0,0,0,0
Brynn Teakle,3,14,7,9.67,0.0,0.33,0.33,0,0,0,0,0,0
Charlie Dixon,7,15,9,12.6,1.4,1.0,0.8,40,0,0,60,60,20
Connor Rozee,8,29,19,24.6,0.8,0.2,1.0,100,80,60,60,20,0
Dan Houston,8,25,16,21.4,0.4,0.4,1.0,100,80,20,40,0,0
Darcy Byrne Jones,8,16,5,12.4,1.2,0.6,0.8,40,0,0,60,60,0
Dylan Williams,5,24,9,15.2,0.0,0.0,0.8,60,20,0,0,0,0
Francis Evans,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0,0
Jackson Mead,2,9,8,8.5,0.0,0.5,0.0,0,0,0,0,0,0
Jase Burgoyne,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0,0
Jason Horne Francis,8,25,13,19.0,0.2,0.4,1.8,80,40,20,20,0,0
Jed McEntee,5,11,7,9.8,0.8,0.2,0.6,0,0,0,80,0,0
Jeremy Finlayson,6,18,10,15.0,2.2,1.4,1.4,60,0,0,80,60,40
Kane Farrell,6,18,9,14.2,0.2,0.4,0.6,40,0,0,20,0,0
Lachie Jones,3,12,5,9.33,1.33,0.0,0.0,0,0,0,67,33,33
Miles Bergman,8,21,10,14.0,0.0,0.2,0.4,40,20,0,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0,0
Ollie Wines,8,26,19,23.4,0.0,0.0,0.8,100,80,60,0,0,0
Ollie Lord,2,10,5,7.5,0.5,0.5,1.0,0,0,0,50,0,0
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0,0
Riley Bonner,3,20,6,13.67,0.0,1.0,0.0,67,33,0,0,0,0
Ryan Burton,6,20,9,15.4,0.4,0.2,0.6,60,20,0,20,20,0
Sam Powell Pepper,8,17,7,12.6,1.2,1.6,0.0,20,0,0,100,20,0
Scott Lycett,5,14,2,10.2,0.0,0.0,1.6,0,0,0,0,0,0
Tom Jonas,6,9,2,6.0,0.0,0.0,0.6,0,0,0,0,0,0
Todd Marshall,7,13,2,7.4,1.0,0.6,0.8,0,0,0,80,20,0
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Travis Boak,7,30,15,21.0,0.6,0.6,0.6,100,60,20,60,0,0
Trent McKenzie,6,16,6,11.8,0.0,0.0,0.2,20,0,0,0,0,0
Willem Drew,8,25,10,16.8,0.2,0.2,0.8,60,40,20,20,0,0
Willie Rioli,8,14,6,9.0,1.2,2.2,0.8,0,0,0,60,60,0
Xavier Duursma,7,22,5,13.0,0.6,0.0,1.6,40,20,0,60,0,0
Zak Butters,8,32,25,27.8,0.4,0.4,1.8,100,100,100,40,0,0
