Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Hall,2,30,22,26.0,0.0,0.0,0.5,100,100,50,0,0,0
Aidan Corr,7,18,6,13.0,0.0,0.0,0.4,40,0,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0,0
Bailey Scott,8,22,11,16.4,0.0,0.2,0.2,80,20,0,0,0,0
Ben Cunnington,8,27,7,18.6,0.2,0.0,0.4,60,60,40,20,0,0
Ben McKay,4,15,9,10.75,0.0,0.0,0.5,25,0,0,0,0,0
Blake Drury,1,13,13,13.0,0.0,1.0,2.0,0,0,0,0,0,0
Callum Coleman Jones,1,3,3,3.0,0.0,0.0,1.0,0,0,0,0,0,0
Cameron Zurhaar,8,20,9,15.2,1.4,2.2,1.6,80,20,0,60,40,40
Charlie Comben,7,11,1,7.2,0.6,1.2,0.6,0,0,0,40,20,0
Charlie Lazzaro,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0
Curtis Taylor,8,18,11,14.4,0.6,0.8,1.0,60,0,0,60,0,0
Daniel Howe,6,23,9,16.8,0.0,0.0,0.4,60,40,0,0,0,0
Darcy Tucker,6,24,15,18.2,0.2,0.4,0.8,100,20,0,20,0,0
Flynn Perez,1,16,16,16.0,0.0,0.0,1.0,100,0,0,0,0,0
Griffin Logue,7,17,9,13.2,0.0,0.2,0.6,40,0,0,0,0,0
Harry Sheezel,8,37,11,27.8,0.2,0.2,0.8,80,80,80,20,0,0
Hugh Greenwood,5,15,10,12.0,0.0,0.2,0.6,20,0,0,0,0,0
Jack Mahony,1,16,16,16.0,0.0,0.0,0.0,100,0,0,0,0,0
Jack Ziebell,8,36,20,26.4,0.0,0.0,2.2,100,100,40,0,0,0
Jaidyn Stephenson,8,14,9,11.4,2.0,0.4,0.8,0,0,0,80,60,40
Josh Goater,3,15,9,13.0,0.0,0.33,0.67,67,0,0,0,0,0
Jy Simpkin,6,29,12,20.8,0.4,0.0,0.4,60,60,40,40,0,0
Kayne Turner,7,10,5,7.0,0.2,0.4,0.0,0,0,0,20,0,0
Liam Shiels,8,28,3,17.6,0.6,0.0,0.8,60,40,40,60,0,0
Luke Davies Uniacke,6,30,20,25.6,0.2,0.4,1.6,100,100,60,20,0,0
Luke McDonald,8,24,16,20.0,0.0,0.0,0.6,100,40,0,0,0,0
Miller Bergman,4,16,10,13.25,0.0,0.0,1.0,25,0,0,0,0,0
Nick Larkey,8,9,4,6.2,1.4,0.8,0.4,0,0,0,80,40,20
Paul Curtis,7,10,5,8.2,0.4,1.0,0.4,0,0,0,40,0,0
Todd Goldstein,7,16,11,13.6,0.0,0.2,2.0,40,0,0,0,0,0
Tom Powell,7,21,12,16.6,0.4,0.4,0.0,80,40,0,40,0,0
Tristan Xerri,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0,0
Will Phillips,5,19,8,15.4,0.4,0.2,1.2,80,0,0,40,0,0
