Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Hall,2,30,22,26.0,0.0,0.0,0.5,100,100,50,0,0,0
Aidan Corr,7,22,6,14.71,0.0,0.0,0.86,57,14,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0,0
Bailey Scott,8,22,11,16.0,0.0,0.25,0.12,75,12,0,0,0,0
Ben Cunnington,8,27,7,19.25,0.12,0.25,0.88,75,62,25,12,0,0
Ben McKay,4,15,9,10.75,0.0,0.0,0.5,25,0,0,0,0,0
Blake Drury,1,13,13,13.0,0.0,1.0,2.0,0,0,0,0,0,0
Callum Coleman Jones,1,3,3,3.0,0.0,0.0,1.0,0,0,0,0,0,0
Cameron Zurhaar,8,26,9,17.0,1.38,1.62,1.38,75,38,12,62,50,25
Charlie Comben,7,13,1,7.86,0.57,1.14,1.0,0,0,0,43,14,0
Charlie Lazzaro,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0
Curtis Taylor,8,18,11,14.25,0.75,0.75,0.75,50,0,0,62,12,0
Daniel Howe,6,23,8,15.33,0.0,0.0,0.5,50,33,0,0,0,0
Darcy Tucker,6,24,6,16.17,0.33,0.33,0.67,83,17,0,33,0,0
Flynn Perez,1,16,16,16.0,0.0,0.0,1.0,100,0,0,0,0,0
Griffin Logue,7,17,9,12.71,0.0,0.14,0.57,29,0,0,0,0,0
Harry Sheezel,8,37,11,28.62,0.12,0.12,0.75,88,88,88,12,0,0
Hugh Greenwood,5,15,10,12.0,0.0,0.2,0.6,20,0,0,0,0,0
Jack Mahony,1,16,16,16.0,0.0,0.0,0.0,100,0,0,0,0,0
Jack Ziebell,8,36,19,25.38,0.0,0.0,1.75,100,88,50,0,0,0
Jaidyn Stephenson,8,14,8,11.12,1.5,0.38,0.5,0,0,0,62,50,25
Josh Goater,3,15,9,13.0,0.0,0.33,0.67,67,0,0,0,0,0
Jy Simpkin,6,29,12,21.5,0.33,0.0,0.83,67,67,50,33,0,0
Kayne Turner,7,12,5,7.86,0.14,0.29,0.29,0,0,0,14,0,0
Liam Shiels,8,28,3,17.5,0.38,0.12,0.88,62,25,25,38,0,0
Luke Davies Uniacke,6,32,20,26.67,0.33,0.5,1.67,100,100,67,33,0,0
Luke McDonald,8,24,15,19.62,0.0,0.0,0.62,100,50,0,0,0,0
Miller Bergman,4,16,10,13.25,0.0,0.0,1.0,25,0,0,0,0,0
Nick Larkey,8,9,4,6.75,2.38,0.5,1.0,0,0,0,88,62,38
Paul Curtis,7,10,5,8.14,0.57,0.86,0.43,0,0,0,43,14,0
Todd Goldstein,7,18,7,13.29,0.0,0.14,2.14,43,0,0,0,0,0
Tom Powell,7,24,12,18.0,0.43,0.43,0.0,86,43,0,43,0,0
Tristan Xerri,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0,0
Will Phillips,5,19,8,15.4,0.4,0.2,1.2,80,0,0,40,0,0
