Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Francis,3,7,7,7.0,0.0,1.0,0.33,0,0,0,0,0,0
Angus Sheldrick,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Braeden Campbell,8,18,12,14.67,0.0,0.0,0.33,33,0,0,0,0,0
Callum Mills,8,31,14,22.67,0.0,0.0,0.33,67,67,33,0,0,0
Chad Warner,8,29,19,25.33,0.33,0.0,0.33,100,67,67,33,0,0
Corey Warner,1,8,8,8.0,1.0,0.0,0.0,0,0,0,100,0,0
Dane Rampe,4,19,15,17.0,0.0,0.0,0.33,100,0,0,0,0,0
Dylan Stephens,7,14,7,10.67,0.67,0.0,1.33,0,0,0,67,0,0
Errol Gulden,8,37,16,26.67,0.33,1.33,2.33,100,67,67,33,0,0
Harry Cunningham,8,16,12,14.0,0.0,0.0,0.67,33,0,0,0,0,0
Hayden McLean,6,19,8,13.33,0.67,0.0,0.33,33,0,0,67,0,0
Isaac Heeney,8,19,14,16.33,0.33,0.67,0.67,67,0,0,33,0,0
Jake Lloyd,8,25,19,22.67,0.0,0.0,0.33,100,67,33,0,0,0
James Rowbottom,8,19,13,16.33,0.0,0.33,1.33,67,0,0,0,0,0
Joel Amartey,4,16,4,8.33,0.67,1.33,0.67,33,0,0,33,33,0
Justin McInerney,7,23,8,14.0,0.33,0.0,0.0,33,33,0,33,0,0
Lance Franklin,5,13,8,10.67,1.0,1.33,2.33,0,0,0,33,33,33
Logan McDonald,8,12,5,9.33,1.33,0.67,0.67,0,0,0,67,33,33
Luke Parker,8,34,21,29.33,0.33,0.0,1.67,100,100,67,33,0,0
Marc Sheather,2,4,2,3.0,0.5,0.0,0.0,0,0,0,50,0,0
Matt Roberts,5,14,3,6.67,0.0,0.0,0.67,0,0,0,0,0,0
Nick Blakey,8,24,12,18.33,0.0,0.0,0.33,67,33,0,0,0,0
Oliver Florent,8,29,10,17.67,0.0,0.0,0.33,33,33,33,0,0,0
Peter Ladhams,8,24,11,16.33,0.33,0.33,0.67,33,33,0,33,0,0
Robbie Fox,4,24,17,19.33,0.0,0.0,1.0,100,33,0,0,0,0
Ryan Clarke,3,14,11,12.0,0.67,0.33,0.33,0,0,0,67,0,0
Tom McCartin,6,12,5,9.33,0.0,0.0,0.33,0,0,0,0,0,0
Tom Papley,8,11,9,10.0,1.0,1.67,1.0,0,0,0,100,0,0
Will Gould,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0,0
Will Hayward,8,16,8,12.67,2.0,0.67,0.33,33,0,0,100,67,33
