Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Pearce,8,10,7,8.67,0.0,0.0,0.67,0,0,0,0,0,0
Andrew Brayshaw,8,34,23,29.0,1.33,0.0,1.33,100,100,67,67,67,0
Bailey Banfield,7,14,8,11.33,0.67,0.67,0.33,0,0,0,33,33,0
Brandon Walker,5,14,8,11.67,0.0,0.0,0.67,0,0,0,0,0,0
Brennan Cox,8,23,14,18.33,0.0,0.0,0.0,67,33,0,0,0,0
Caleb Serong,8,35,24,28.67,0.0,0.33,2.33,100,100,67,0,0,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0,0
Ethan Hughes,8,17,10,14.33,0.0,0.0,0.33,67,0,0,0,0,0
Hayden Young,8,33,23,27.33,0.0,0.33,1.0,100,100,67,0,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0,0
James Aish,8,23,11,17.33,0.0,0.33,0.67,67,33,0,0,0,0
Jordan Clark,8,20,15,18.33,0.33,0.0,0.0,100,67,0,33,0,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Josh Treacy,2,6,3,4.5,1.0,0.5,1.5,0,0,0,100,0,0
Jye Amiss,7,10,2,6.33,1.67,0.33,0.33,0,0,0,100,33,33
Lachie Schultz,8,16,10,12.0,0.67,1.0,1.0,33,0,0,67,0,0
Liam Henry,4,18,11,14.0,0.33,0.67,0.67,33,0,0,33,0,0
Luke Jackson,8,24,9,15.0,1.33,1.33,1.0,33,33,0,100,33,0
Luke Ryan,8,30,18,25.0,0.0,0.0,0.0,100,67,67,0,0,0
Matt Taberner,4,11,7,9.0,0.67,0.0,0.0,0,0,0,33,33,0
Michael Walters,7,14,11,12.67,1.0,0.33,0.67,0,0,0,100,0,0
Nat Fyfe,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0,0
Nathan Wilson,4,18,10,13.33,0.0,0.0,0.67,33,0,0,0,0,0
Neil Erasmus,2,16,4,10.0,0.0,0.0,0.5,50,0,0,0,0,0
Sam Sturt,3,7,6,6.67,0.67,1.0,0.33,0,0,0,33,33,0
Sam Switkowski,7,11,1,7.67,1.0,0.33,1.67,0,0,0,67,33,0
Sean Darcy,8,18,11,13.67,0.33,0.33,1.33,33,0,0,33,0,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0,0
