Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Pearce,8,20,7,11.25,0.0,0.0,0.88,12,12,0,0,0,0
Andrew Brayshaw,8,34,18,27.25,0.75,0.0,2.0,100,88,75,50,25,0
Bailey Banfield,7,16,3,11.71,0.86,0.57,0.57,29,0,0,57,29,0
Brandon Walker,5,16,8,12.6,0.0,0.0,0.6,20,0,0,0,0,0
Brennan Cox,8,30,8,17.62,0.12,0.0,0.38,50,38,12,12,0,0
Caleb Serong,8,37,24,30.75,0.0,0.38,2.25,100,100,88,0,0,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0,0
Ethan Hughes,8,19,10,14.5,0.12,0.0,0.62,62,0,0,12,0,0
Hayden Young,8,33,14,22.38,0.12,0.12,0.5,88,50,38,12,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0,0
James Aish,8,31,11,20.5,0.12,0.25,1.12,88,38,25,12,0,0
Jordan Clark,8,28,15,18.88,0.12,0.12,1.25,100,38,12,12,0,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0,0
Josh Treacy,2,6,3,4.5,1.0,0.5,1.5,0,0,0,100,0,0
Jye Amiss,7,10,2,7.0,1.57,0.86,0.86,0,0,0,86,43,29
Lachie Schultz,8,20,10,14.12,1.38,0.75,1.5,50,12,0,88,38,12
Liam Henry,4,21,11,15.75,0.25,0.5,0.5,50,25,0,25,0,0
Luke Jackson,8,24,9,13.25,1.12,0.88,1.25,12,12,0,75,38,0
Luke Ryan,8,37,17,25.0,0.0,0.0,0.5,100,62,50,0,0,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25,0
Michael Walters,7,14,7,10.71,1.86,0.86,1.0,0,0,0,86,43,29
Nat Fyfe,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0,0
Nathan Wilson,4,21,10,15.25,0.0,0.0,0.5,50,25,0,0,0,0
Neil Erasmus,2,16,4,10.0,0.0,0.0,0.5,50,0,0,0,0,0
Sam Sturt,3,7,6,6.67,0.67,1.0,0.33,0,0,0,33,33,0
Sam Switkowski,7,21,1,12.29,1.0,0.57,1.29,43,14,0,71,29,0
Sean Darcy,8,20,6,15.0,0.25,0.5,1.75,62,12,0,25,0,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0,0
