Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Anthony Caminiti,5,13,5,8.8,1.4,0.8,1.0,0,0,0,80,60,0
Ben Paton,8,21,6,13.38,0.0,0.0,1.0,38,12,0,0,0,0
Brad Crouch,8,34,18,27.5,0.25,0.12,1.12,100,88,62,12,12,0
Bradley Hill,8,26,18,21.5,0.38,0.25,0.38,100,75,12,25,12,0
Callum Wilkie,8,28,8,20.75,0.0,0.12,0.62,88,62,12,0,0,0
Cooper Sharman,1,18,18,18.0,1.0,2.0,1.0,100,0,0,100,0,0
Dan Butler,8,16,6,10.75,1.38,0.38,0.75,12,0,0,62,38,25
Dougal Howard,8,18,8,12.75,0.0,0.0,0.38,25,0,0,0,0,0
Hunter Clark,8,27,18,22.88,0.38,0.12,1.12,100,88,38,38,0,0
Jack Bytel,4,15,3,7.0,0.25,0.25,0.5,25,0,0,25,0,0
Jack Higgins,8,22,8,14.0,2.0,0.75,1.12,38,12,0,88,50,25
Jack Sinclair,8,33,23,28.25,0.25,0.12,0.5,100,100,88,25,0,0
Jack Steele,5,29,19,24.8,0.4,0.2,1.2,100,80,60,40,0,0
Jade Gresham,8,23,7,16.75,1.0,0.5,0.62,75,38,0,62,38,0
Jimmy Webster,2,16,14,15.0,0.0,0.0,0.5,50,0,0,0,0,0
Josh Battle,8,24,8,15.0,0.0,0.0,0.62,62,12,0,0,0,0
Marcus Windhager,6,14,4,8.83,0.33,0.5,0.33,0,0,0,33,0,0
Mason Wood,8,27,17,21.88,0.88,0.62,1.12,100,75,12,75,12,0
Mattaes Phillipou,8,19,7,14.0,0.75,0.38,0.5,38,0,0,50,12,12
Mitch Owens,8,27,14,16.75,1.62,1.12,2.25,75,12,12,88,62,12
Nasiah Wanganeen Milera,8,28,15,20.5,0.0,0.12,0.25,100,50,12,0,0,0
Rowan Marshall,8,26,16,20.62,0.12,0.5,1.88,100,62,25,12,0,0
Ryan Byrnes,8,27,8,20.25,0.12,0.38,0.62,88,75,12,12,0,0
Sebastian Ross,7,30,12,23.86,0.14,0.0,1.0,86,86,43,14,0,0
Tim Membrey,3,12,9,11.0,0.67,1.33,0.33,0,0,0,67,0,0
Zaine Cordy,7,13,1,6.14,0.86,0.0,0.43,0,0,0,71,14,0
